Country,"Density
(P/Km2)",Land Area(Km2),Calling Code,Capital/Major City,GDP,Official language,Population,Urban_population,Latitude,Longitude
North Korea,214,"120,538",850.0,Pyongyang,"$32,100,000,000 ",Korean,"25,666,161","15,947,412",40.339852,127.510093
North Macedonia,83,"25,713",389.0,Skopje,"$10,220,781,069 ",Macedonian,"1,836,713",,41.608635,21.745275
Norway,15,"323,802",47.0,Oslo,"$403,336,363,636 ",Norwegian,"5,347,896","4,418,218",60.472024,8.468946
Oman,16,"309,500",968.0,Muscat,"$76,983,094,928 ",Arabic,"5,266,535","4,250,777",21.4735329,55.975413
Pakistan,287,"796,095",92.0,Islamabad,"$304,400,000,000 ",Urdu,"216,565,318","79,927,762",30.375321,69.345116
Palau,39,459,680.0,Ngerulmud,"$283,994,900 ",English,"18,233","14,491",7.51498,134.58252
Palestinian National Authority,847,,,,,Arabic,,,31.952162,35.233154
Panama,58,"75,420",507.0,Panama City,"$66,800,800,000 ",Spanish,"4,246,439","2,890,084",8.537981,-80.782127
Papua New Guinea,20,"462,840",675.0,Port Moresby,"$24,969,611,435 ",Tok Pisin,"8,776,109","1,162,834",-6.314993,143.95555
Paraguay,18,"406,752",595.0,Asunci��,"$38,145,288,940 ",Spanish,"7,044,636","4,359,150",-23.442503,-58.443832
Peru,26,"1,285,216",51.0,Lima,"$226,848,050,820 ",Spanish,"32,510,453","25,390,339",-9.189967,-75.015152
Philippines,368,"300,000",63.0,Manila,"$376,795,508,680 ",English,"108,116,615","50,975,903",12.879721,121.774017
Poland,124,"312,685",48.0,Warsaw,"$592,164,400,688 ",Polish,"37,970,874","22,796,574",51.919438,19.145136
Portugal,111,"92,212",351.0,Lisbon,"$237,686,075,635 ",Portuguese,"10,269,417","6,753,579",39.399872,-8.224454
Qatar,248,"11,586",974.0,Doha,"$183,466,208,791 ",Arabic,"2,832,067","2,809,071",25.354826,51.183884
Romania,84,"238,391",40.0,Bucharest,"$250,077,444,017 ",Romanian,"19,356,544","10,468,793",45.943161,24.96676
Russia,9,"17,098,240",7.0,Moscow,"$1,699,876,578,871 ",Russian,"144,373,535","107,683,889",61.52401,105.318756
Rwanda,525,"26,338",250.0,Kigali,"$10,122,472,590 ",Swahili,"12,626,950","2,186,104",-1.940278,29.873888
Saint Kitts and Nevis,205,261,1.0,Basseterre,"$1,050,992,593 ",English,"52,823","16,269",17.357822,-62.782998
Saint Lucia,301,616,1.0,Castries,"$2,122,450,630 ",English,"182,790","34,280",13.909444,-60.978893
Saint Vincent and the Grenadines,284,389,1.0,Kingstown,"$825,385,185 ",English,"100,455","58,185",12.984305,-61.287228
Samoa,70,"2,831",685.0,Apia,"$850,655,017 ",Samoan,"202,506","35,588",-13.759029,-172.104629
San Marino,566,61,378.0,City of San Marino,"$1,637,931,034 ",Italian,"33,860","32,969",43.94236,12.457777
S�����������,228,964,239.0,S����,"$429,016,605 ",,"215,056","158,277",,
Saudi Arabia,16,"2,149,690",966.0,Riyadh,"$792,966,838,162 ",Arabic,"34,268,528","28,807,838",23.885942,45.079162
Senegal,87,"196,722",221.0,Dakar,"$23,578,084,052 ",French,"16,296,364","7,765,706",14.497401,-14.452362
Serbia,100,"77,474",381.0,Belgrade,"$51,409,167,351 ",Serbian,"6,944,975","3,907,243",44.016521,21.005859
Seychelles,214,455,248.0,"Victoria, Seychelles","$1,698,843,063 ",French,"97,625","55,762",-4.679574,55.491977
Sierra Leone,111,"71,740",232.0,Freetown,"$3,941,474,311 ",English,"7,813,215","3,319,366",8.460555,-11.779889
Singapore,"8,358",716,65.0,,"$372,062,527,489 ",Malay,"5,703,569","5,703,569",1.352083,103.819836
Slovakia,114,"49,035",421.0,Bratislava,"$105,422,304,976 ",Slovak,"5,454,073","2,930,419",48.669026,19.699024
